Elapsed_Time_s,Timestamp,T1_C,T2_C,Skew_ms,Delta_T_C
0.000,2026-03-06T12:07:31.375616,-9.5391,-9.3125,0.854,-0.2266
0.225,2026-03-06T12:07:31.600212,-9.5313,-9.3047,0.854,-0.2266
0.468,2026-03-06T12:07:31.843381,-9.5234,-9.3047,0.824,-0.2188
0.708,2026-03-06T12:07:32.083552,-9.5234,-9.2969,0.854,-0.2266
0.946,2026-03-06T12:07:32.321221,-9.5156,-9.3047,0.885,-0.2109
1.190,2026-03-06T12:07:32.565714,-9.5156,-9.2969,0.854,-0.2188
1.412,2026-03-06T12:07:32.788038,-9.5156,-9.2969,0.854,-0.2188
1.651,2026-03-06T12:07:33.026221,-9.5156,-9.2969,0.854,-0.2188
1.890,2026-03-06T12:07:33.265346,-9.5156,-9.2969,0.854,-0.2188
2.130,2026-03-06T12:07:33.506064,-9.5156,-9.2969,0.824,-0.2188
2.368,2026-03-06T12:07:33.744091,-9.5078,-9.2969,0.855,-0.2109
2.588,2026-03-06T12:07:33.963501,-9.5156,-9.2969,0.854,-0.2188
2.829,2026-03-06T12:07:34.204657,-9.5156,-9.2969,0.854,-0.2188
3.077,2026-03-06T12:07:34.453096,-9.5078,-9.2891,0.854,-0.2188
3.313,2026-03-06T12:07:34.688256,-9.5078,-9.2891,0.854,-0.2188
3.552,2026-03-06T12:07:34.927194,-9.5078,-9.2891,0.854,-0.2188
3.771,2026-03-06T12:07:35.146876,-9.5078,-9.2891,0.885,-0.2188
4.012,2026-03-06T12:07:35.388093,-9.5000,-9.2891,0.854,-0.2109
4.253,2026-03-06T12:07:35.628467,-9.5078,-9.2891,0.854,-0.2188
4.490,2026-03-06T12:07:35.865719,-9.5000,-9.2891,0.885,-0.2109
4.742,2026-03-06T12:07:36.117319,-9.5000,-9.2891,0.854,-0.2109
4.964,2026-03-06T12:07:36.339301,-9.5000,-9.2891,0.854,-0.2109
5.195,2026-03-06T12:07:36.570597,-9.5000,-9.2891,0.854,-0.2109
5.435,2026-03-06T12:07:36.810869,-9.5000,-9.2891,0.854,-0.2109
5.675,2026-03-06T12:07:37.050114,-9.5000,-9.2891,0.854,-0.2109
5.917,2026-03-06T12:07:37.292316,-9.5000,-9.2891,0.854,-0.2109
6.139,2026-03-06T12:07:37.515040,-9.4922,-9.2891,0.854,-0.2031
6.380,2026-03-06T12:07:37.755297,-9.4922,-9.2813,0.854,-0.2109
6.624,2026-03-06T12:07:37.999866,-9.4922,-9.2813,0.854,-0.2109
6.863,2026-03-06T12:07:38.238522,-9.4922,-9.2813,0.854,-0.2109
7.097,2026-03-06T12:07:38.472232,-9.4922,-9.2891,0.854,-0.2031
7.322,2026-03-06T12:07:38.697605,-9.4844,-9.2891,0.854,-0.1953
7.564,2026-03-06T12:07:38.939918,-9.4922,-9.2891,0.854,-0.2031
7.803,2026-03-06T12:07:39.178861,-9.4922,-9.2813,0.854,-0.2109
8.051,2026-03-06T12:07:39.426756,-9.4922,-9.2813,0.854,-0.2109
8.291,2026-03-06T12:07:39.666220,-9.4922,-9.2813,0.824,-0.2109
8.510,2026-03-06T12:07:39.885337,-9.4922,-9.2813,0.854,-0.2109
8.750,2026-03-06T12:07:40.125410,-9.4922,-9.2813,0.854,-0.2109
8.988,2026-03-06T12:07:40.363507,-9.4922,-9.2734,0.854,-0.2188
9.226,2026-03-06T12:07:40.601494,-9.4844,-9.2813,0.854,-0.2031
9.469,2026-03-06T12:07:40.844129,-9.4922,-9.2734,1.068,-0.2188
9.692,2026-03-06T12:07:41.067766,-9.4844,-9.2813,0.854,-0.2031
9.948,2026-03-06T12:07:41.323756,-9.4844,-9.2734,0.854,-0.2109
10.182,2026-03-06T12:07:41.557520,-9.4844,-9.2734,0.854,-0.2109
10.413,2026-03-06T12:07:41.788860,-9.4844,-9.2734,0.854,-0.2109
10.654,2026-03-06T12:07:42.029941,-9.4844,-9.2734,0.854,-0.2109
10.880,2026-03-06T12:07:42.256063,-9.4844,-9.2734,0.854,-0.2109
11.122,2026-03-06T12:07:42.497558,-9.4844,-9.2734,0.885,-0.2109
11.359,2026-03-06T12:07:42.734914,-9.4844,-9.2734,0.885,-0.2109
11.598,2026-03-06T12:07:42.973313,-9.4766,-9.2734,0.854,-0.2031
11.848,2026-03-06T12:07:43.223796,-9.4844,-9.2734,0.854,-0.2109
12.069,2026-03-06T12:07:43.445029,-9.4766,-9.2734,0.854,-0.2031
12.302,2026-03-06T12:07:43.677569,-9.4766,-9.2656,0.824,-0.2109
12.543,2026-03-06T12:07:43.918586,-9.4766,-9.2656,0.854,-0.2109
12.781,2026-03-06T12:07:44.156126,-9.4766,-9.2656,0.855,-0.2109
13.020,2026-03-06T12:07:44.396086,-9.4766,-9.2656,0.977,-0.2109
13.245,2026-03-06T12:07:44.620590,-9.4766,-9.2734,0.885,-0.2031
13.486,2026-03-06T12:07:44.861250,-9.4766,-9.2656,0.824,-0.2109
13.742,2026-03-06T12:07:45.117781,-9.4766,-9.2734,0.854,-0.2031
13.967,2026-03-06T12:07:45.342909,-9.4766,-9.2734,1.129,-0.2031
14.205,2026-03-06T12:07:45.580386,-9.4766,-9.2656,0.854,-0.2109
14.428,2026-03-06T12:07:45.803973,-9.4766,-9.2656,0.854,-0.2109
14.670,2026-03-06T12:07:46.045476,-9.4766,-9.2656,0.824,-0.2109
14.906,2026-03-06T12:07:46.281830,-9.4766,-9.2656,0.854,-0.2109
15.147,2026-03-06T12:07:46.522899,-9.4766,-9.2656,0.854,-0.2109
15.385,2026-03-06T12:07:46.760302,-9.4766,-9.2656,0.854,-0.2109
15.616,2026-03-06T12:07:46.991279,-9.4766,-9.2578,1.007,-0.2188
15.845,2026-03-06T12:07:47.220420,-9.4766,-9.2656,0.854,-0.2109
16.081,2026-03-06T12:07:47.457032,-9.4688,-9.2656,0.855,-0.2031
16.323,2026-03-06T12:07:47.699028,-9.4688,-9.2656,0.855,-0.2031
